_id,Currency,Date,Open,High,Low,Close,Volume,Market Cap
ObjectId("5e5a946645e7ef328423749e"),bitcoin,25/02/2017,"1,170.41","1,174.85","1,124.59"
ObjectId("5e5a946645e7ef328423746e"),bitcoin,14/04/2017,"1,170.33","1,190.80","1,159.79"
ObjectId("5e5a946645e7ef328423746d"),bitcoin,15/04/2017,"1,167.30","1,188.00","1,164.96"
ObjectId("5e5a946645e7ef328423749c"),bitcoin,27/02/2017,"1,163.78","1,181.98","1,163.38"
ObjectId("5e5a946645e7ef32842374d1"),bitcoin,05/01/2017,"1,156.73","1,191.10",910.42,"1
ObjectId("5e5a946645e7ef3284237938"),bitcoin,05/12/2013,"1,152.73","1,154.36",897.11,"1
ObjectId("5e5a946645e7ef3284237492"),bitcoin,09/03/2017,"1,150.35","1,197.46","1,141.23"
ObjectId("5e5a946645e7ef3284237478"),bitcoin,04/04/2017,"1,145.52","1,156.44","1,120.52"
ObjectId("5e5a946645e7ef328423749d"),bitcoin,26/02/2017,"1,144.27","1,167.47","1,130.20"
ObjectId("5e5a946645e7ef3284237477"),bitcoin,05/04/2017,"1,134.14","1,135.09","1,113.63"
ObjectId("5e5a946645e7ef328423793d"),bitcoin,30/11/2013,"1,129.37","1,156.14","1,106.61"
ObjectId("5e5a946645e7ef328423793c"),bitcoin,01/12/2013,"1,128.92","1,133.08",801.82,955.85
ObjectId("5e5a946645e7ef3284237476"),bitcoin,06/04/2017,"1,125.81","1,188.37","1,125.81"
ObjectId("5e5a946645e7ef3284237485"),bitcoin,22/03/2017,"1,120.65","1,120.65","1,014.21"
ObjectId("5e5a946645e7ef32842374a0"),bitcoin,23/02/2017,"1,117.27","1,176.62","1,116.96"
ObjectId("5e5a946645e7ef3284237490"),bitcoin,11/03/2017,"1,116.32","1,193.83","1,116.32"
ObjectId("5e5a946645e7ef32842374a1"),bitcoin,22/02/2017,"1,114.80","1,125.39","1,100.55"
ObjectId("5e5a946645e7ef3284237479"),bitcoin,03/04/2017,"1,102.95","1,151.74","1,102.95"
ObjectId("5e5a946645e7ef3284237489"),bitcoin,18/03/2017,"1,099.69","1,114.07",957.66,973.82
ObjectId("5e5a946645e7ef328423747a"),bitcoin,02/04/2017,"1,080.61","1,107.59","1,075.45"
ObjectId("5e5a946645e7ef32842374a2"),bitcoin,21/02/2017,"1,079.28","1,117.25","1,076.93"
ObjectId("5e5a946645e7ef3284237939"),bitcoin,04/12/2013,"1,077.58","1,156.12","1,070.16"
ObjectId("5e5a946645e7ef328423747b"),bitcoin,01/04/2017,"1,071.71","1,091.72","1,061.09"
ObjectId("5e5a946645e7ef32842374ae"),bitcoin,09/02/2017,"1,064.70","1,088.99",953.34,994.38
ObjectId("5e5a946645e7ef32842374af"),bitcoin,08/02/2017,"1,062.32","1,078.97","1,037.49"
ObjectId("5e5a946645e7ef3284237486"),bitcoin,21/03/2017,"1,055.36","1,122.43","1,055.36"
ObjectId("5e5a946645e7ef32842374a4"),bitcoin,19/02/2017,"1,054.76","1,056.81","1,043.46"
ObjectId("5e5a946645e7ef3284237484"),bitcoin,23/03/2017,"1,050.05","1,058.01","1,028.93"
ObjectId("5e5a946645e7ef32842374a5"),bitcoin,18/02/2017,"1,049.21","1,061.10","1,046.96"
ObjectId("5e5a946645e7ef32842374a3"),bitcoin,20/02/2017,"1,048.69","1,080.49","1,041.69"
ObjectId("5e5a946645e7ef328423793a"),bitcoin,03/12/2013,"1,046.40","1,096.00","1,011.21"
ObjectId("5e5a946645e7ef328423747e"),bitcoin,29/03/2017,"1,046.08","1,055.13","1,015.88"
ObjectId("5e5a946645e7ef328423747f"),bitcoin,28/03/2017,"1,044.58","1,064.65","1,027.73"
ObjectId("5e5a946645e7ef32842374d2"),bitcoin,04/01/2017,"1,044.40","1,159.42","1,044.40"
ObjectId("5e5a946645e7ef32842374b2"),bitcoin,05/02/2017,"1,043.52","1,043.63","1,022.37"
